nazev_zastavky;poslední_zastavka;zpozdeni;linka
Obchodní dům PRIOR;1.náměstí;0.142857143;5
Ervěnice,závod ČSA;Komořany;0.142857143;12
H.Jiřetín,u nádraží;H.Jiřetín,pošta;0.142857143;14
H.Jiřetín,pekařství;D.Jiřetín,rozcestí;0.142857143;28
Záluží,CHEMOPETROL;Záluží,Petrochemie;0.142857143;40
Okružní,Shell;18.ZŠ;0.149253731;5
Záluží,Důl Julius IV;Most,rozcestí Kopisty;0.151515152;3
Okresní soud;Sukova,blok 508;0.151515152;5
České Zlatníky;Obrnice,škola;0.152173913;10
Křížatky;Osada Poslušnost;0.153846154;13
Velebudice,škola;Velebudická;0.153846154;25
Rudolická,MUS;Nádraží;0.155279503;20
Sukova,blok 508;Okresní soud;0.155555556;20
Nádraží;Sever;0.15625;16
Pod Resslem;Autodrom;0.158730159;22
Rudolice,rozcestí;Rudolická,MUS;0.16;10
Široký vrch;Zahražany;0.161849711;17
Záluží,Zdravotní středisko;Záluží,Důl Julius IV;0.163265306;1
Litvínov,obchodní dům;Litvínov,poliklinika;0.163265306;1
Litvínov,sportovní škola;Litvínov,Citadela;0.165413534;13
Litvínov,obchodní dům;Litvínov,nádraží;0.166666667;3
Čepirohy,Hrabák;Čepirohy,závodní klub;0.166666667;31
Záluží,CHEMOPETROL;Záluží,Petrochemie;0.166666667;40
Ovocné sady;Benedikt;0.166666667;53
Nádraží;Rudolická,MUS;0.166666667;53
Obchodní dům PRIOR;Okresní soud;0.168539326;22
Souš,Tvrzova;Autodrom;0.169811321;12
Litvínov,Máj;Litvínov,mototechna;0.169811321;13
Široký vrch;Zahražany;0.170068027;20
Sever;Nádraží;0.170212766;31
Rudolická,MUS;Nádraží;0.174444444;30
Čepirohy,závodní klub;Čepirohy,Hrabák;0.175;31
Litvínov,Máj,věžové domy;Litvínov,Krušnohor;0.176470588;14
Speciální škola;1.náměstí;0.17721519;17
Most,obchodní dům PRIOR;Most,1. náměstí;0.177664975;4
Zd.Štěpánka;Dopravní podnik;0.177777778;17
Litvínov,Janáčkova;Hamr,škola;0.178571429;15
