case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);22:10:00;03.10.2023 22:07;03.10.2023 22:10;46;True;134;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);22:10:00;03.10.2023 22:07;03.10.2023 22:10;59;True;121;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);22:10:00;2023-10-03 22:07:21.266795;03.10.2023 22:10;58;True;100.733205;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);22:10:00;2023-10-03 22:07:21.266795;03.10.2023 22:10;53;True;105.733205;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);22:10:00;2023-10-03 22:07:21.266795;03.10.2023 22:10;52;True;106.733205;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);22:10:00;2023-10-03 22:07:21.266795;03.10.2023 22:10;39;True;119.733205;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);22:10:00;2023-10-03 22:07:21.266795;03.10.2023 22:10;27;True;131.733205;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);22:10:00;03.10.2023 22:07;03.10.2023 22:10;26;True;154;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);22:10:00;03.10.2023 22:07;03.10.2023 22:10;53;True;127;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);22:10:00;03.10.2023 22:07;03.10.2023 22:10;54;True;126;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);22:10:00;03.10.2023 22:07;03.10.2023 22:10;44;True;136;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);22:10:00;03.10.2023 22:07;03.10.2023 22:10;75;True;105;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);22:10:00;03.10.2023 22:07;03.10.2023 22:10;38;True;142;PRIOR;1
case1;20;Čs.armády;(20, 109);4;Litvínov,Citadela;(4, 26);22:10:00;03.10.2023 22:07;03.10.2023 22:10;52;True;128;PRIOR;1
case1;20;Čs.armády;(20, 109);17;Dopravní podnik;(17, 111, 2);22:10:00;03.10.2023 22:07;03.10.2023 22:10;54;True;126;PRIOR;1
