case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);13:03:00;2023-10-15 12:59:53.997815;2023-10-15 13:00:56.549947;25;True;37.552132;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);13:03:00;2023-10-15 12:59:53.997815;15.10.2023 23:59;15;True;;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);13:03:00;2023-10-15 13:00:36.549947;15.10.2023 13:03;10;True;133.450053;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);13:03:00;2023-10-15 13:00:36.549947;15.10.2023 13:03;25;True;118.450053;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);13:03:00;2023-10-15 13:00:36.549947;15.10.2023 13:02;25;True;58.450053;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);13:03:00;15.10.2023 23:59;15.10.2023 13:03;25;False;;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);13:03:00;15.10.2023 23:59;15.10.2023 13:03;15;False;;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);13:03:00;15.10.2023 23:59;15.10.2023 13:02;15;False;;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);15:03:00;2023-10-15 15:01:05.717365;15.10.2023 15:02;35;True;19.282635;Litvínov;0
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);15:03:00;2023-10-15 15:01:05.717365;15.10.2023 23:59;10;True;;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);15:03:00;2023-10-15 15:01:05.717365;2023-10-15 15:03:06.009794;25;True;95.292429;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);15:03:00;15.10.2023 15:00;15.10.2023 15:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);15:03:00;15.10.2023 15:00;15.10.2023 23:59;25;True;;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);15:03:00;15.10.2023 15:00;2023-10-15 15:03:06.009794;15;True;171.009794;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);15:03:00;2023-10-15 14:58:26.554280;15.10.2023 15:03;35;True;238.44572;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);15:03:00;2023-10-15 14:58:26.554280;15.10.2023 15:03;0;True;273.44572;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);15:03:00;2023-10-15 14:58:26.554280;15.10.2023 23:59;25;True;;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);15:03:00;2023-10-15 14:58:26.554280;2023-10-15 15:03:06.009794;15;True;264.455514;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);15:03:00;15.10.2023 23:59;15.10.2023 15:03;10;False;;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);15:03:00;15.10.2023 23:59;15.10.2023 15:03;25;False;;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);15:03:00;15.10.2023 23:59;15.10.2023 15:02;25;False;;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);15:03:00;2023-10-15 15:02:46.009794;15.10.2023 15:03;25;False;-11.009794;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);15:03:00;2023-10-15 15:02:46.009794;15.10.2023 15:03;15;False;-1.009794;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);15:03:00;2023-10-15 15:02:46.009794;15.10.2023 15:02;15;False;-61.009794;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);8:03:00;21.10.2023 8:00;21.10.2023 8:02;35;True;85;Litvínov;0
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);8:03:00;21.10.2023 8:00;2023-10-21 08:01:34.143622;10;True;84.143622;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);8:03:00;21.10.2023 8:00;2023-10-21 08:04:38.705350;25;True;253.70535;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);8:03:00;21.10.2023 8:00;21.10.2023 8:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);8:03:00;21.10.2023 8:00;2023-10-21 08:01:34.143622;25;True;69.143622;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);8:03:00;21.10.2023 8:00;2023-10-21 08:04:38.705350;15;True;263.70535;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);8:03:00;2023-10-21 07:58:09.573232;21.10.2023 8:03;35;True;255.426768;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);8:03:00;2023-10-21 07:58:09.573232;21.10.2023 8:03;0;True;290.426768;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);8:03:00;2023-10-21 07:58:09.573232;2023-10-21 08:01:34.143622;25;True;179.57039;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);8:03:00;2023-10-21 07:58:09.573232;2023-10-21 08:04:38.705350;15;True;374.132118;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);8:03:00;2023-10-21 08:01:14.143622;21.10.2023 8:03;10;True;95.856378;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);8:03:00;2023-10-21 08:01:14.143622;21.10.2023 8:03;25;True;80.856378;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);8:03:00;2023-10-21 08:01:14.143622;21.10.2023 8:02;25;True;20.856378;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);8:03:00;2023-10-21 08:04:18.705350;21.10.2023 8:03;25;False;-103.70535;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);8:03:00;2023-10-21 08:04:18.705350;21.10.2023 8:03;15;False;-93.70535;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);8:03:00;2023-10-21 08:04:18.705350;21.10.2023 8:02;15;False;-153.70535;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);9:03:00;2023-10-21 09:00:04.346065;21.10.2023 9:02;35;True;80.653935;Litvínov;0
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);9:03:00;2023-10-21 09:00:04.346065;2023-10-21 09:01:24.010323;10;True;69.664258;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);9:03:00;2023-10-21 09:00:04.346065;21.10.2023 9:02;25;True;90.653935;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);9:03:00;21.10.2023 9:00;21.10.2023 9:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);9:03:00;21.10.2023 9:00;2023-10-21 09:01:24.010323;25;True;59.010323;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);9:03:00;21.10.2023 9:00;21.10.2023 9:02;15;True;105;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);9:03:00;2023-10-21 08:58:09.355349;21.10.2023 9:03;35;True;255.644651;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);9:03:00;2023-10-21 08:58:09.355349;21.10.2023 9:03;0;True;290.644651;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);9:03:00;2023-10-21 08:58:09.355349;2023-10-21 09:01:24.010323;25;True;169.654974;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);9:03:00;2023-10-21 08:58:09.355349;21.10.2023 9:02;15;True;215.644651;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);9:03:00;2023-10-21 09:01:04.010323;21.10.2023 9:03;10;True;105.989677;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);9:03:00;2023-10-21 09:01:04.010323;21.10.2023 9:03;25;True;90.989677;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);9:03:00;2023-10-21 09:01:04.010323;21.10.2023 9:02;25;True;30.989677;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);9:03:00;2023-10-21 09:01:38.170899;21.10.2023 9:03;25;True;56.829101;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);9:03:00;2023-10-21 09:01:38.170899;21.10.2023 9:03;15;True;66.829101;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);9:03:00;2023-10-21 09:01:38.170899;21.10.2023 9:02;15;True;6.829101;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);18:03:00;2023-10-21 18:01:49.476587;21.10.2023 18:02;35;False;-24.476587;Litvínov;0
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);18:03:00;2023-10-21 18:01:49.476587;2023-10-21 18:00:58.470921;10;False;-61.005666;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);18:03:00;2023-10-21 18:01:49.476587;2023-10-21 18:03:27.490624;25;True;73.014037;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);18:03:00;21.10.2023 18:00;21.10.2023 18:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);18:03:00;21.10.2023 18:00;2023-10-21 18:00:58.470921;25;True;33.470921;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);18:03:00;21.10.2023 18:00;2023-10-21 18:03:27.490624;15;True;192.490624;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);18:03:00;2023-10-21 17:59:33.900479;21.10.2023 18:03;35;True;171.099521;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);18:03:00;2023-10-21 17:59:33.900479;21.10.2023 18:03;0;True;206.099521;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);18:03:00;2023-10-21 17:59:33.900479;2023-10-21 18:00:58.470921;25;True;59.570442;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);18:03:00;2023-10-21 17:59:33.900479;2023-10-21 18:03:27.490624;15;True;218.590145;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);18:03:00;2023-10-21 18:00:38.470921;21.10.2023 18:03;10;True;131.529079;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);18:03:00;2023-10-21 18:00:38.470921;21.10.2023 18:03;25;True;116.529079;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);18:03:00;2023-10-21 18:00:38.470921;21.10.2023 18:02;25;True;56.529079;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);18:03:00;2023-10-21 18:03:07.490624;21.10.2023 18:03;25;False;-32.490624;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);18:03:00;2023-10-21 18:03:07.490624;21.10.2023 18:03;15;False;-22.490624;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);18:03:00;2023-10-21 18:03:07.490624;21.10.2023 18:02;15;False;-82.490624;Litvínov;1
